date,trump immigration,isPartial
2020-05-27,0,False
2020-05-28,0,False
2020-05-29,0,False
2020-05-30,44,False
2020-05-31,0,False
2020-06-01,0,False
2020-06-02,0,False
2020-06-03,37,False
2020-06-04,0,False
2020-06-05,0,False
2020-06-06,44,False
2020-06-07,0,False
2020-06-08,0,False
2020-06-09,0,False
2020-06-10,38,False
2020-06-11,0,False
2020-06-12,40,False
2020-06-13,90,False
2020-06-14,45,False
2020-06-15,0,False
2020-06-16,39,False
2020-06-17,41,False
2020-06-18,0,False
2020-06-19,0,False
2020-06-20,0,False
2020-06-21,46,False
2020-06-22,39,False
2020-06-23,39,False
2020-06-24,81,False
2020-06-25,42,False
2020-06-26,42,False
2020-06-27,45,False
2020-06-28,45,False
2020-06-29,0,False
2020-06-30,84,False
2020-07-01,43,False
2020-07-02,43,False
2020-07-03,0,False
2020-07-04,0,False
2020-07-05,0,False
2020-07-06,0,False
2020-07-07,0,False
2020-07-08,0,False
2020-07-09,0,False
2020-07-10,0,False
2020-07-11,100,False
