date,trump immigration,isPartial
2020-05-27,0,False
2020-05-28,0,False
2020-05-29,0,False
2020-05-30,0,False
2020-05-31,38,False
2020-06-01,31,False
2020-06-02,0,False
2020-06-03,0,False
2020-06-04,0,False
2020-06-05,31,False
2020-06-06,0,False
2020-06-07,38,False
2020-06-08,0,False
2020-06-09,0,False
2020-06-10,0,False
2020-06-11,0,False
2020-06-12,34,False
2020-06-13,0,False
2020-06-14,0,False
2020-06-15,33,False
2020-06-16,81,False
2020-06-17,0,False
2020-06-18,33,False
2020-06-19,0,False
2020-06-20,0,False
2020-06-21,0,False
2020-06-22,48,False
2020-06-23,94,False
2020-06-24,66,False
2020-06-25,100,False
2020-06-26,0,False
2020-06-27,0,False
2020-06-28,0,False
2020-06-29,0,False
2020-06-30,34,False
2020-07-01,34,False
2020-07-02,0,False
2020-07-03,0,False
2020-07-04,0,False
2020-07-05,0,False
2020-07-06,0,False
2020-07-07,65,False
2020-07-08,33,False
2020-07-09,0,False
2020-07-10,0,False
2020-07-11,38,False
