date,vote trump,isPartial
2020-04-11,0,False
2020-04-12,0,False
2020-04-13,0,False
2020-04-14,43,False
2020-04-15,0,False
2020-04-16,42,False
2020-04-17,0,False
2020-04-18,0,False
2020-04-19,0,False
2020-04-20,43,False
2020-04-21,0,False
2020-04-22,0,False
2020-04-23,0,False
2020-04-24,0,False
2020-04-25,0,False
2020-04-26,48,False
2020-04-27,0,False
2020-04-28,0,False
2020-04-29,44,False
2020-04-30,0,False
2020-05-01,0,False
2020-05-02,48,False
2020-05-03,0,False
2020-05-04,0,False
2020-05-05,42,False
2020-05-06,0,False
2020-05-07,0,False
2020-05-08,0,False
2020-05-09,0,False
2020-05-10,49,False
2020-05-11,0,False
2020-05-12,0,False
2020-05-13,0,False
2020-05-14,0,False
2020-05-15,0,False
2020-05-16,0,False
2020-05-17,0,False
2020-05-18,45,False
2020-05-19,0,False
2020-05-20,44,False
2020-05-21,91,False
2020-05-22,45,False
2020-05-23,100,False
2020-05-24,52,False
2020-05-25,0,False
2020-05-26,45,False
2020-05-27,0,False
2020-05-28,45,False
2020-05-29,0,False
2020-05-30,0,False
2020-05-31,48,False
2020-06-01,45,False
2020-06-02,45,False
2020-06-03,42,False
2020-06-04,0,False
2020-06-05,44,False
2020-06-06,0,False
2020-06-07,0,False
2020-06-08,83,False
2020-06-09,0,False
2020-06-10,0,False
2020-06-11,0,False
2020-06-12,0,False
2020-06-13,0,False
2020-06-14,49,False
2020-06-15,0,False
2020-06-16,42,False
2020-06-17,0,False
2020-06-18,46,False
2020-06-19,0,False
2020-06-20,0,False
2020-06-21,51,False
2020-06-22,0,False
2020-06-23,0,False
2020-06-24,46,False
2020-06-25,0,False
2020-06-26,0,False
2020-06-27,49,False
2020-06-28,0,False
2020-06-29,46,False
2020-06-30,0,False
2020-07-01,0,False
2020-07-02,0,False
2020-07-03,49,False
2020-07-04,0,False
2020-07-05,0,False
2020-07-06,46,False
2020-07-07,0,False
2020-07-08,0,False
2020-07-09,0,False
2020-07-10,0,False
2020-07-11,52,False
